Start loading the data....
  - Found cached train data
  - Found cached valid data
  - Found cached test data
Finish loading the data....
### Note: You are running in unaligned mode.
Epoch  1 | Batch  30/680 | Time/Batch(ms) 336.92 | Train Loss 0.9496
Epoch  1 | Batch  60/680 | Time/Batch(ms) 339.24 | Train Loss 0.8490
Epoch  1 | Batch  90/680 | Time/Batch(ms) 334.90 | Train Loss 0.8557
Epoch  1 | Batch 120/680 | Time/Batch(ms) 323.06 | Train Loss 0.8936
Epoch  1 | Batch 150/680 | Time/Batch(ms) 322.82 | Train Loss 0.8816
Epoch  1 | Batch 180/680 | Time/Batch(ms) 318.39 | Train Loss 0.8667
Epoch  1 | Batch 210/680 | Time/Batch(ms) 321.02 | Train Loss 0.7988
Epoch  1 | Batch 240/680 | Time/Batch(ms) 320.12 | Train Loss 0.8117
Epoch  1 | Batch 270/680 | Time/Batch(ms) 320.42 | Train Loss 0.8201
Epoch  1 | Batch 300/680 | Time/Batch(ms) 321.07 | Train Loss 0.8211
Epoch  1 | Batch 330/680 | Time/Batch(ms) 317.12 | Train Loss 0.7745
Epoch  1 | Batch 360/680 | Time/Batch(ms) 316.65 | Train Loss 0.8451
Epoch  1 | Batch 390/680 | Time/Batch(ms) 316.63 | Train Loss 0.7852
Epoch  1 | Batch 420/680 | Time/Batch(ms) 318.14 | Train Loss 0.7814
Epoch  1 | Batch 450/680 | Time/Batch(ms) 316.71 | Train Loss 0.7706
Epoch  1 | Batch 480/680 | Time/Batch(ms) 316.19 | Train Loss 0.7410
Epoch  1 | Batch 510/680 | Time/Batch(ms) 314.41 | Train Loss 0.7413
Epoch  1 | Batch 540/680 | Time/Batch(ms) 318.22 | Train Loss 0.7407
Epoch  1 | Batch 570/680 | Time/Batch(ms) 318.65 | Train Loss 0.6758
Epoch  1 | Batch 600/680 | Time/Batch(ms) 322.28 | Train Loss 0.7360
Epoch  1 | Batch 630/680 | Time/Batch(ms) 321.47 | Train Loss 0.6847
Epoch  1 | Batch 660/680 | Time/Batch(ms) 321.48 | Train Loss 0.7313
--------------------------------------------------
Epoch  1 | Time 245.5757 sec | Valid Loss 0.7253 | Test Loss 0.7344
--------------------------------------------------
Saved model at pre_trained_models/mult.pt!
Epoch  2 | Batch  30/680 | Time/Batch(ms) 334.91 | Train Loss 0.7115
Epoch  2 | Batch  60/680 | Time/Batch(ms) 320.85 | Train Loss 0.6857
Epoch  2 | Batch  90/680 | Time/Batch(ms) 321.92 | Train Loss 0.7390
Epoch  2 | Batch 120/680 | Time/Batch(ms) 321.25 | Train Loss 0.6586
Epoch  2 | Batch 150/680 | Time/Batch(ms) 317.78 | Train Loss 0.6736
Epoch  2 | Batch 180/680 | Time/Batch(ms) 319.27 | Train Loss 0.7465
Epoch  2 | Batch 210/680 | Time/Batch(ms) 317.80 | Train Loss 0.6907
Epoch  2 | Batch 240/680 | Time/Batch(ms) 321.92 | Train Loss 0.7083
Epoch  2 | Batch 270/680 | Time/Batch(ms) 320.05 | Train Loss 0.6721
Epoch  2 | Batch 300/680 | Time/Batch(ms) 319.74 | Train Loss 0.6963
Epoch  2 | Batch 330/680 | Time/Batch(ms) 319.06 | Train Loss 0.6962
Epoch  2 | Batch 360/680 | Time/Batch(ms) 318.54 | Train Loss 0.7020
Epoch  2 | Batch 390/680 | Time/Batch(ms) 317.14 | Train Loss 0.6933
Epoch  2 | Batch 420/680 | Time/Batch(ms) 317.94 | Train Loss 0.7038
Epoch  2 | Batch 450/680 | Time/Batch(ms) 320.80 | Train Loss 0.7142
Epoch  2 | Batch 480/680 | Time/Batch(ms) 317.24 | Train Loss 0.7087
Epoch  2 | Batch 510/680 | Time/Batch(ms) 315.83 | Train Loss 0.6724
Epoch  2 | Batch 540/680 | Time/Batch(ms) 318.96 | Train Loss 0.6842
Epoch  2 | Batch 570/680 | Time/Batch(ms) 316.56 | Train Loss 0.6863
Epoch  2 | Batch 600/680 | Time/Batch(ms) 317.27 | Train Loss 0.6841
Epoch  2 | Batch 630/680 | Time/Batch(ms) 317.31 | Train Loss 0.6840
Epoch  2 | Batch 660/680 | Time/Batch(ms) 319.04 | Train Loss 0.6673
--------------------------------------------------
Epoch  2 | Time 243.7030 sec | Valid Loss 0.6747 | Test Loss 0.6889
--------------------------------------------------
Saved model at pre_trained_models/mult.pt!
Epoch  3 | Batch  30/680 | Time/Batch(ms) 330.90 | Train Loss 0.6881
Epoch  3 | Batch  60/680 | Time/Batch(ms) 317.26 | Train Loss 0.6785
Epoch  3 | Batch  90/680 | Time/Batch(ms) 320.69 | Train Loss 0.6549
Epoch  3 | Batch 120/680 | Time/Batch(ms) 317.98 | Train Loss 0.6475
Epoch  3 | Batch 150/680 | Time/Batch(ms) 343.12 | Train Loss 0.6658
Epoch  3 | Batch 180/680 | Time/Batch(ms) 355.39 | Train Loss 0.6871
Epoch  3 | Batch 210/680 | Time/Batch(ms) 332.92 | Train Loss 0.6994
Epoch  3 | Batch 240/680 | Time/Batch(ms) 318.03 | Train Loss 0.6972
Epoch  3 | Batch 270/680 | Time/Batch(ms) 321.14 | Train Loss 0.6790
Epoch  3 | Batch 300/680 | Time/Batch(ms) 311.88 | Train Loss 0.6461
Epoch  3 | Batch 330/680 | Time/Batch(ms) 313.23 | Train Loss 0.6521
Epoch  3 | Batch 360/680 | Time/Batch(ms) 314.70 | Train Loss 0.6407
Epoch  3 | Batch 390/680 | Time/Batch(ms) 315.99 | Train Loss 0.6735
Epoch  3 | Batch 420/680 | Time/Batch(ms) 313.26 | Train Loss 0.6671
Epoch  3 | Batch 450/680 | Time/Batch(ms) 315.55 | Train Loss 0.6708
Epoch  3 | Batch 480/680 | Time/Batch(ms) 313.61 | Train Loss 0.6627
Epoch  3 | Batch 510/680 | Time/Batch(ms) 314.32 | Train Loss 0.6513
Epoch  3 | Batch 540/680 | Time/Batch(ms) 314.39 | Train Loss 0.6255
Epoch  3 | Batch 570/680 | Time/Batch(ms) 314.24 | Train Loss 0.6438
Epoch  3 | Batch 600/680 | Time/Batch(ms) 313.09 | Train Loss 0.6583
Epoch  3 | Batch 630/680 | Time/Batch(ms) 313.55 | Train Loss 0.6600
Epoch  3 | Batch 660/680 | Time/Batch(ms) 314.36 | Train Loss 0.7094
--------------------------------------------------
Epoch  3 | Time 243.8273 sec | Valid Loss 0.6239 | Test Loss 0.6512
--------------------------------------------------
Saved model at pre_trained_models/mult.pt!
Epoch  4 | Batch  30/680 | Time/Batch(ms) 329.94 | Train Loss 0.6429
Epoch  4 | Batch  60/680 | Time/Batch(ms) 315.67 | Train Loss 0.6210
Epoch  4 | Batch  90/680 | Time/Batch(ms) 317.95 | Train Loss 0.6211
Epoch  4 | Batch 120/680 | Time/Batch(ms) 318.17 | Train Loss 0.6616
Epoch  4 | Batch 150/680 | Time/Batch(ms) 320.51 | Train Loss 0.5855
Epoch  4 | Batch 180/680 | Time/Batch(ms) 319.92 | Train Loss 0.6372
Epoch  4 | Batch 210/680 | Time/Batch(ms) 319.40 | Train Loss 0.6508
Epoch  4 | Batch 240/680 | Time/Batch(ms) 317.54 | Train Loss 0.6544
Epoch  4 | Batch 270/680 | Time/Batch(ms) 317.36 | Train Loss 0.6626
Epoch  4 | Batch 300/680 | Time/Batch(ms) 317.98 | Train Loss 0.6964
Epoch  4 | Batch 330/680 | Time/Batch(ms) 317.04 | Train Loss 0.6303
Epoch  4 | Batch 360/680 | Time/Batch(ms) 317.42 | Train Loss 0.6497
Epoch  4 | Batch 390/680 | Time/Batch(ms) 317.02 | Train Loss 0.6741
Epoch  4 | Batch 420/680 | Time/Batch(ms) 316.97 | Train Loss 0.6601
Epoch  4 | Batch 450/680 | Time/Batch(ms) 316.98 | Train Loss 0.6390
Epoch  4 | Batch 480/680 | Time/Batch(ms) 315.75 | Train Loss 0.6828
Epoch  4 | Batch 510/680 | Time/Batch(ms) 314.24 | Train Loss 0.6483
Epoch  4 | Batch 540/680 | Time/Batch(ms) 317.57 | Train Loss 0.6287
Epoch  4 | Batch 570/680 | Time/Batch(ms) 315.49 | Train Loss 0.6304
Epoch  4 | Batch 600/680 | Time/Batch(ms) 316.04 | Train Loss 0.7005
Epoch  4 | Batch 630/680 | Time/Batch(ms) 318.40 | Train Loss 0.6445
Epoch  4 | Batch 660/680 | Time/Batch(ms) 314.50 | Train Loss 0.6143
--------------------------------------------------
Epoch  4 | Time 242.3994 sec | Valid Loss 0.6231 | Test Loss 0.6402
--------------------------------------------------
Saved model at pre_trained_models/mult.pt!
Epoch  5 | Batch  30/680 | Time/Batch(ms) 326.66 | Train Loss 0.6267
Epoch  5 | Batch  60/680 | Time/Batch(ms) 317.55 | Train Loss 0.6234
Epoch  5 | Batch  90/680 | Time/Batch(ms) 316.00 | Train Loss 0.6639
Epoch  5 | Batch 120/680 | Time/Batch(ms) 315.75 | Train Loss 0.6877
Epoch  5 | Batch 150/680 | Time/Batch(ms) 313.84 | Train Loss 0.6443
Epoch  5 | Batch 180/680 | Time/Batch(ms) 314.40 | Train Loss 0.6328
Epoch  5 | Batch 210/680 | Time/Batch(ms) 313.75 | Train Loss 0.6340
Epoch  5 | Batch 240/680 | Time/Batch(ms) 313.90 | Train Loss 0.6234
Epoch  5 | Batch 270/680 | Time/Batch(ms) 311.69 | Train Loss 0.6267
Epoch  5 | Batch 300/680 | Time/Batch(ms) 314.21 | Train Loss 0.6510
Epoch  5 | Batch 330/680 | Time/Batch(ms) 313.42 | Train Loss 0.6513
Epoch  5 | Batch 360/680 | Time/Batch(ms) 311.93 | Train Loss 0.6434
Epoch  5 | Batch 390/680 | Time/Batch(ms) 312.11 | Train Loss 0.6997
Epoch  5 | Batch 420/680 | Time/Batch(ms) 313.09 | Train Loss 0.6628
Epoch  5 | Batch 450/680 | Time/Batch(ms) 311.23 | Train Loss 0.6763
Epoch  5 | Batch 480/680 | Time/Batch(ms) 311.75 | Train Loss 0.6476
Epoch  5 | Batch 510/680 | Time/Batch(ms) 311.92 | Train Loss 0.6111
Epoch  5 | Batch 540/680 | Time/Batch(ms) 313.06 | Train Loss 0.6382
Epoch  5 | Batch 570/680 | Time/Batch(ms) 312.25 | Train Loss 0.6559
Epoch  5 | Batch 600/680 | Time/Batch(ms) 312.40 | Train Loss 0.6561
Epoch  5 | Batch 630/680 | Time/Batch(ms) 312.67 | Train Loss 0.6299
Epoch  5 | Batch 660/680 | Time/Batch(ms) 314.92 | Train Loss 0.6128
--------------------------------------------------
Epoch  5 | Time 239.8026 sec | Valid Loss 0.6659 | Test Loss 0.6817
--------------------------------------------------
Epoch  6 | Batch  30/680 | Time/Batch(ms) 322.61 | Train Loss 0.6451
Epoch  6 | Batch  60/680 | Time/Batch(ms) 313.66 | Train Loss 0.6165
Epoch  6 | Batch  90/680 | Time/Batch(ms) 313.84 | Train Loss 0.6289
Epoch  6 | Batch 120/680 | Time/Batch(ms) 312.60 | Train Loss 0.6758
Epoch  6 | Batch 150/680 | Time/Batch(ms) 313.65 | Train Loss 0.6556
Epoch  6 | Batch 180/680 | Time/Batch(ms) 316.83 | Train Loss 0.6470
Epoch  6 | Batch 210/680 | Time/Batch(ms) 313.21 | Train Loss 0.6318
Epoch  6 | Batch 240/680 | Time/Batch(ms) 313.32 | Train Loss 0.6525
Epoch  6 | Batch 270/680 | Time/Batch(ms) 313.30 | Train Loss 0.6624
Epoch  6 | Batch 300/680 | Time/Batch(ms) 312.13 | Train Loss 0.6578
Epoch  6 | Batch 330/680 | Time/Batch(ms) 313.19 | Train Loss 0.6061
Epoch  6 | Batch 360/680 | Time/Batch(ms) 312.14 | Train Loss 0.6250
Epoch  6 | Batch 390/680 | Time/Batch(ms) 313.61 | Train Loss 0.6127
Epoch  6 | Batch 420/680 | Time/Batch(ms) 312.08 | Train Loss 0.6139
Epoch  6 | Batch 450/680 | Time/Batch(ms) 311.13 | Train Loss 0.6214
Epoch  6 | Batch 480/680 | Time/Batch(ms) 312.76 | Train Loss 0.6322
Epoch  6 | Batch 510/680 | Time/Batch(ms) 316.60 | Train Loss 0.6586
Epoch  6 | Batch 540/680 | Time/Batch(ms) 316.19 | Train Loss 0.6620
Epoch  6 | Batch 570/680 | Time/Batch(ms) 315.10 | Train Loss 0.6363
Epoch  6 | Batch 600/680 | Time/Batch(ms) 315.81 | Train Loss 0.6104
Epoch  6 | Batch 630/680 | Time/Batch(ms) 315.18 | Train Loss 0.6208
Epoch  6 | Batch 660/680 | Time/Batch(ms) 316.17 | Train Loss 0.6056
--------------------------------------------------
Epoch  6 | Time 240.1678 sec | Valid Loss 0.6810 | Test Loss 0.6888
--------------------------------------------------
Epoch  7 | Batch  30/680 | Time/Batch(ms) 325.61 | Train Loss 0.6157
Epoch  7 | Batch  60/680 | Time/Batch(ms) 314.97 | Train Loss 0.6180
Epoch  7 | Batch  90/680 | Time/Batch(ms) 315.72 | Train Loss 0.6079
Epoch  7 | Batch 120/680 | Time/Batch(ms) 316.44 | Train Loss 0.6043
Epoch  7 | Batch 150/680 | Time/Batch(ms) 314.90 | Train Loss 0.6167
Epoch  7 | Batch 180/680 | Time/Batch(ms) 318.58 | Train Loss 0.6355
Epoch  7 | Batch 210/680 | Time/Batch(ms) 321.26 | Train Loss 0.6666
Epoch  7 | Batch 240/680 | Time/Batch(ms) 318.01 | Train Loss 0.6256
Epoch  7 | Batch 270/680 | Time/Batch(ms) 315.80 | Train Loss 0.6218
Epoch  7 | Batch 300/680 | Time/Batch(ms) 316.49 | Train Loss 0.6528
Epoch  7 | Batch 330/680 | Time/Batch(ms) 318.47 | Train Loss 0.6067
Epoch  7 | Batch 360/680 | Time/Batch(ms) 317.75 | Train Loss 0.6622
Epoch  7 | Batch 390/680 | Time/Batch(ms) 320.00 | Train Loss 0.6622
Epoch  7 | Batch 420/680 | Time/Batch(ms) 324.16 | Train Loss 0.6191
Epoch  7 | Batch 450/680 | Time/Batch(ms) 322.31 | Train Loss 0.6181
Epoch  7 | Batch 480/680 | Time/Batch(ms) 319.46 | Train Loss 0.6464
Epoch  7 | Batch 510/680 | Time/Batch(ms) 321.18 | Train Loss 0.6382
Epoch  7 | Batch 540/680 | Time/Batch(ms) 315.89 | Train Loss 0.6394
Epoch  7 | Batch 570/680 | Time/Batch(ms) 318.41 | Train Loss 0.6260
Epoch  7 | Batch 600/680 | Time/Batch(ms) 316.02 | Train Loss 0.6224
Epoch  7 | Batch 630/680 | Time/Batch(ms) 319.88 | Train Loss 0.6272
Epoch  7 | Batch 660/680 | Time/Batch(ms) 318.30 | Train Loss 0.6563
--------------------------------------------------
Epoch  7 | Time 243.0216 sec | Valid Loss 0.6278 | Test Loss 0.6402
--------------------------------------------------
Epoch  8 | Batch  30/680 | Time/Batch(ms) 329.20 | Train Loss 0.6213
Epoch  8 | Batch  60/680 | Time/Batch(ms) 316.28 | Train Loss 0.6172
Epoch  8 | Batch  90/680 | Time/Batch(ms) 316.33 | Train Loss 0.6162
Epoch  8 | Batch 120/680 | Time/Batch(ms) 315.21 | Train Loss 0.6440
Epoch  8 | Batch 150/680 | Time/Batch(ms) 315.10 | Train Loss 0.6105
Epoch  8 | Batch 180/680 | Time/Batch(ms) 316.75 | Train Loss 0.6241
Epoch  8 | Batch 210/680 | Time/Batch(ms) 313.62 | Train Loss 0.6336
Epoch  8 | Batch 240/680 | Time/Batch(ms) 314.36 | Train Loss 0.6275
Epoch  8 | Batch 270/680 | Time/Batch(ms) 316.06 | Train Loss 0.6025
Epoch  8 | Batch 300/680 | Time/Batch(ms) 315.08 | Train Loss 0.6091
